,Compound,Negative,Neutral,Positive,Tweet,Tweet Count,User
0,0.0,1.0,0.0,0.0,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,100,@BBC
1,0.0,1.0,0.0,0.0,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",100,@BBC
2,0.4939,0.686,0.0,0.314,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,100,@BBC
3,0.25,0.765,0.088,0.147,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",100,@BBC
4,0.0,1.0,0.0,0.0,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",100,@BBC
5,0.0,1.0,0.0,0.0,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",100,@BBC
6,-0.2263,0.894,0.106,0.0,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,100,@BBC
7,0.0,1.0,0.0,0.0,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confirmed. 👏

Catch up on the Young Musician 2018 strings final on BBC iPlayer now. 👉https://t.co/37lz1Ip1m5 https://t.co/ZF8BmJjANr",100,@BBC
8,0.0,1.0,0.0,0.0,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",100,@BBC
9,-0.2023,0.811,0.189,0.0,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,100,@BBC
10,0.875,0.607,0.0,0.393,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",100,@BBC
11,0.2732,0.488,0.0,0.512,😂 'Surprise me'. https://t.co/Jo7illTafh,100,@BBC
12,-0.0772,0.942,0.058,0.0,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their life… 
#Hospital https://t.co/xPmgDgjrl2",100,@BBC
13,0.5859,0.787,0.0,0.213,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",100,@BBC
14,0.3818,0.894,0.0,0.106,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch this month. 👉 https://t.co/fXz49hqASS https://t.co/P0CU9dAJtR",100,@BBC
15,0.0,1.0,0.0,0.0,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",100,@BBC
16,0.0,1.0,0.0,0.0,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,100,@BBC
17,0.6369,0.792,0.0,0.208,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",100,@BBC
18,0.3612,0.783,0.0,0.217,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,100,@BBC
19,0.5719,0.748,0.0,0.252,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,100,@BBC
20,0.0,1.0,0.0,0.0,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",100,@BBC
21,-0.7269,0.523,0.405,0.072,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,100,@BBC
22,0.6515,0.581,0.0,0.419,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",100,@BBC
